gru_risk,rl_risk,academic_issue,days_since_last_login,alerts_sent,alerts_responded,engagement_score
LOW,LOW,1,4,5,3,1.6960000000000002
LOW,LOW,0,2,2,0,3.914
LOW,LOW,1,2,4,3,3.052
LOW,LOW,0,1,2,0,1.424
LOW,LOW,1,4,3,1,3.6206666666666663
HIGH,HIGH,0,7,5,4,2.5760000000000005
HIGH,HIGH,0,9,0,0,3.344
LOW,LOW,0,1,5,2,2.026
LOW,LOW,0,3,1,0,2.734
LOW,LOW,1,3,5,2,2.67
LOW,LOW,0,1,1,0,4.98
LOW,LOW,0,1,0,0,4.728000000000001
LOW,LOW,1,5,4,2,2.094
HIGH,HIGH,1,8,1,0,4.104
HIGH,HIGH,0,8,1,0,5.918
LOW,LOW,0,5,0,0,0.4519999999999999
HIGH,HIGH,0,8,1,0,3.3680000000000003
HIGH,HIGH,0,8,1,0,5.596
HIGH,HIGH,1,7,2,0,4.26
LOW,LOW,0,4,3,2,3.157333333333333
LOW,LOW,1,5,0,0,4.41
HIGH,HIGH,1,7,0,0,2.234
LOW,LOW,0,0,1,0,3.3440000000000003
HIGH,HIGH,1,9,1,0,2.202
LOW,LOW,1,1,4,3,4.286
HIGH,HIGH,0,6,5,3,5.114
HIGH,HIGH,1,9,3,1,2.9966666666666666
LOW,LOW,1,2,0,0,4.166
LOW,LOW,0,4,0,0,8.736
LOW,LOW,1,0,2,1,4.656
HIGH,HIGH,0,7,1,0,8.148
HIGH,HIGH,0,7,5,4,4.648000000000001
LOW,LOW,0,3,0,0,5.678
HIGH,HIGH,0,6,2,1,6.045999999999999
LOW,LOW,0,1,3,1,4.408666666666666
LOW,LOW,0,1,0,0,6.031999999999999
HIGH,HIGH,0,7,3,2,5.727333333333334
HIGH,HIGH,0,9,1,0,2.748
LOW,LOW,0,2,0,0,2.794
HIGH,HIGH,0,6,3,2,1.917333333333333
HIGH,HIGH,1,7,2,1,1.83
HIGH,HIGH,1,9,2,1,3.08
LOW,LOW,0,0,3,1,2.458666666666667
LOW,LOW,0,2,5,2,3.738
HIGH,HIGH,1,7,2,1,3.93
LOW,LOW,1,4,5,1,2.664
LOW,LOW,1,2,5,3,4.588
HIGH,HIGH,0,6,4,2,1.558
LOW,LOW,1,2,0,0,5.81
LOW,LOW,0,0,4,3,4.854
LOW,LOW,0,2,3,2,4.255333333333334
HIGH,HIGH,0,7,3,2,4.033333333333333
HIGH,HIGH,0,8,5,2,6.08
LOW,LOW,1,4,3,2,8.495333333333333
HIGH,HIGH,1,9,5,4,8.082
HIGH,HIGH,0,6,2,1,5.557999999999999
HIGH,HIGH,0,8,1,0,5.958
HIGH,HIGH,0,8,4,2,4.702
LOW,LOW,1,2,3,0,0.3
LOW,LOW,1,2,0,0,0.922
LOW,LOW,1,1,0,0,1.59
LOW,LOW,1,3,4,0,0.606
LOW,LOW,1,1,4,1,0.05
LOW,LOW,1,3,4,0,0.044
HIGH,HIGH,1,7,3,0,1.2
LOW,LOW,1,0,2,0,1.642
LOW,LOW,1,1,1,0,0.958
HIGH,HIGH,1,6,2,0,1.252
LOW,LOW,0,4,3,2,5.907333333333333
HIGH,HIGH,1,8,5,4,6.973999999999999
LOW,LOW,0,3,2,1,5.533999999999999
HIGH,HIGH,0,6,2,1,7.004
HIGH,HIGH,0,8,1,1,6.8260000000000005
LOW,LOW,0,2,0,0,4.127999999999999
HIGH,HIGH,1,9,3,2,6.553333333333334
HIGH,HIGH,1,8,2,1,3.66
HIGH,HIGH,1,9,1,0,7.342
LOW,LOW,0,4,3,2,4.653333333333334
LOW,LOW,1,0,1,0,4.12
HIGH,HIGH,1,8,0,0,6.03
LOW,LOW,0,3,5,2,6.33
LOW,LOW,1,0,5,4,7.842
LOW,LOW,1,2,4,3,6.83
HIGH,HIGH,0,7,0,0,7.874
LOW,LOW,0,3,1,0,6.108
HIGH,HIGH,0,7,5,3,4.86
HIGH,HIGH,0,7,3,3,5.546
HIGH,HIGH,0,9,1,0,7.552
LOW,LOW,1,4,4,2,2.7920000000000003
HIGH,HIGH,0,6,5,2,3.81
LOW,LOW,1,3,4,2,3.13
LOW,LOW,1,5,4,2,1.4900000000000002
LOW,LOW,1,4,1,0,5.052
HIGH,HIGH,1,9,5,3,4.988
LOW,LOW,0,2,5,3,3.176
LOW,LOW,0,5,0,0,3.35
HIGH,HIGH,1,8,3,1,2.6886666666666668
HIGH,HIGH,0,7,1,0,3.688
HIGH,HIGH,1,9,1,0,4.938
LOW,LOW,0,3,5,1,4.35
HIGH,HIGH,0,8,4,3,0.982
LOW,LOW,1,3,1,0,1.92
LOW,LOW,0,3,3,2,3.441333333333333
LOW,LOW,0,4,0,0,2.036
LOW,LOW,1,1,0,0,2.864
HIGH,HIGH,0,6,2,1,3.76
LOW,LOW,1,1,5,3,5.228
HIGH,HIGH,0,9,2,1,2.764
HIGH,HIGH,1,9,1,1,8.168
LOW,LOW,0,0,2,1,6.402
HIGH,HIGH,1,6,5,4,5.996
LOW,LOW,1,0,2,1,7.5859999999999985
HIGH,HIGH,0,6,1,0,5.5
LOW,LOW,1,4,0,0,5.12
LOW,LOW,0,4,0,0,6.402
LOW,LOW,0,5,5,4,7.668
LOW,LOW,1,1,4,2,5.557999999999999
HIGH,HIGH,0,8,5,4,5.904
LOW,LOW,0,4,5,3,4.09
HIGH,HIGH,0,6,3,1,3.456666666666667
HIGH,HIGH,0,7,3,1,0.5386666666666666
LOW,LOW,1,3,3,2,4.907333333333334
LOW,LOW,1,5,5,2,3.37
LOW,LOW,0,1,4,3,3.318
LOW,LOW,0,3,0,0,1.148
LOW,LOW,1,4,4,2,4.609999999999999
HIGH,HIGH,1,7,1,0,3.498
LOW,LOW,0,3,3,1,4.0906666666666665
LOW,LOW,1,0,5,0,1.618
LOW,LOW,1,2,1,0,1.958
HIGH,HIGH,1,8,5,0,0.0
LOW,LOW,1,0,2,0,1.628
LOW,LOW,1,0,3,0,0.3399999999999999
HIGH,HIGH,1,9,0,0,1.582
LOW,LOW,1,2,2,0,0.634
LOW,LOW,1,4,5,0,0.962
LOW,LOW,1,5,1,0,1.688
LOW,LOW,1,0,4,0,0.3299999999999999
LOW,LOW,0,5,0,0,3.088
LOW,LOW,1,0,5,2,0.6839999999999999
LOW,LOW,0,4,3,1,5.406666666666666
LOW,LOW,1,5,4,3,4.295999999999999
HIGH,HIGH,1,8,0,0,3.154
HIGH,HIGH,0,6,2,1,3.124
HIGH,HIGH,0,8,0,0,3.724
LOW,LOW,1,4,4,3,5.964
LOW,LOW,0,2,3,1,6.306666666666667
HIGH,HIGH,1,9,5,3,4.618
LOW,LOW,1,1,0,0,5.749999999999999
LOW,LOW,0,1,0,0,5.412
LOW,LOW,0,1,4,3,6.064
LOW,LOW,0,1,0,0,7.375999999999999
LOW,LOW,0,2,4,3,3.492
LOW,LOW,1,2,0,0,6.354
HIGH,HIGH,0,8,3,2,4.383333333333334
HIGH,HIGH,0,8,5,5,5.132000000000001
LOW,LOW,0,2,3,2,3.797333333333333
LOW,LOW,1,0,1,0,8.57
LOW,LOW,1,2,0,0,0.636
HIGH,HIGH,1,7,1,0,0.618
HIGH,HIGH,1,6,0,0,0.0
HIGH,HIGH,1,7,0,0,1.264
HIGH,HIGH,1,8,1,0,1.254
LOW,LOW,1,4,3,0,0.956
HIGH,HIGH,1,8,5,0,0.02
LOW,LOW,1,0,5,1,0.3399999999999999
HIGH,HIGH,1,8,5,0,1.652
HIGH,HIGH,1,8,1,0,0.38
LOW,LOW,1,3,3,1,1.2966666666666666
LOW,LOW,0,1,2,1,2.8360000000000003
LOW,LOW,0,4,5,2,3.388
LOW,LOW,1,2,1,0,4.432
HIGH,HIGH,1,9,2,1,4.564
LOW,LOW,0,1,1,0,3.012
HIGH,HIGH,1,9,1,0,3.158
LOW,LOW,1,1,5,2,1.606
LOW,LOW,1,5,5,2,4.254
LOW,LOW,1,3,2,1,0.722
LOW,LOW,1,4,1,0,2.562
HIGH,HIGH,1,8,1,0,3.57
LOW,LOW,1,4,5,3,6.015999999999999
HIGH,HIGH,1,7,1,0,0.318
LOW,LOW,0,2,4,2,2.436
LOW,LOW,1,1,4,2,3.762
HIGH,HIGH,1,6,4,2,2.5120000000000005
LOW,LOW,0,3,4,1,1.512
LOW,LOW,1,5,0,0,2.226
HIGH,HIGH,1,6,4,2,3.77
HIGH,HIGH,1,9,0,0,2.198
LOW,LOW,1,5,3,1,1.7526666666666668
LOW,LOW,1,2,5,3,5.68
LOW,LOW,0,5,4,1,3.472
LOW,LOW,1,3,3,1,3.8586666666666662
LOW,LOW,0,3,4,1,3.414
HIGH,HIGH,1,8,4,1,3.266
LOW,LOW,1,2,0,0,2.664
LOW,LOW,0,4,5,3,3.116
HIGH,HIGH,1,7,0,0,2.3360000000000003
LOW,LOW,1,3,3,0,1.286
LOW,LOW,1,2,2,0,0.656
HIGH,HIGH,1,6,2,0,0.0579999999999999
HIGH,HIGH,1,8,1,0,1.028
LOW,LOW,1,0,4,0,0.612
LOW,LOW,1,0,5,0,1.562
HIGH,HIGH,1,8,5,0,1.278
LOW,LOW,1,5,1,0,1.664
HIGH,HIGH,1,8,0,0,1.27
HIGH,HIGH,1,7,3,0,1.616
LOW,LOW,1,0,3,0,0.0
LOW,LOW,1,3,3,0,0.3999999999999999
LOW,LOW,1,0,0,0,0.614
HIGH,HIGH,1,8,3,0,0.724
HIGH,HIGH,1,8,4,1,1.668
HIGH,HIGH,1,6,3,0,0.3
LOW,LOW,1,2,4,0,2.164
LOW,LOW,1,2,0,0,0.632
LOW,LOW,1,5,5,0,0.8999999999999999
HIGH,HIGH,1,8,1,0,1.572
LOW,LOW,0,2,4,3,4.754000000000001
LOW,LOW,1,5,1,0,7.745999999999999
LOW,LOW,1,3,0,0,6.442
LOW,LOW,1,0,4,3,5.5600000000000005
LOW,LOW,1,1,3,2,5.873333333333333
LOW,LOW,1,3,4,3,5.28
HIGH,HIGH,0,6,4,2,5.849999999999999
LOW,LOW,0,0,3,2,6.419333333333334
LOW,LOW,0,5,4,2,7.465999999999999
LOW,LOW,0,5,0,0,6.2860000000000005
LOW,LOW,0,2,0,0,2.14
HIGH,HIGH,1,9,2,1,0.748
HIGH,HIGH,1,8,4,2,2.688
HIGH,HIGH,1,9,0,0,0.3
HIGH,HIGH,0,8,5,3,2.84
LOW,LOW,1,5,3,2,5.289333333333333
HIGH,HIGH,1,8,3,2,1.0693333333333332
LOW,LOW,1,4,4,2,0.716
LOW,LOW,0,5,3,2,4.125333333333333
LOW,LOW,1,4,1,0,2.266
LOW,LOW,1,4,2,1,4.272
LOW,LOW,0,5,5,0,1.362
LOW,LOW,1,5,4,1,5.164
LOW,LOW,1,4,5,2,3.016
HIGH,HIGH,0,7,5,3,3.456
LOW,LOW,1,3,0,0,2.3400000000000003
HIGH,HIGH,0,8,5,4,4.806000000000001
LOW,LOW,0,1,2,0,4.007999999999999
LOW,LOW,0,0,3,1,2.886666666666667
LOW,LOW,1,1,5,2,3.358
LOW,LOW,0,5,1,0,5.004
HIGH,HIGH,0,9,3,1,2.4266666666666667
LOW,LOW,0,4,0,0,2.664
LOW,LOW,0,4,5,2,2.108
LOW,LOW,1,2,5,3,3.348
LOW,LOW,1,0,5,2,3.2960000000000003
HIGH,HIGH,1,9,4,2,2.71
HIGH,HIGH,0,9,4,3,4.808000000000001
LOW,LOW,0,0,4,1,2.762
LOW,LOW,0,4,4,1,3.756
HIGH,HIGH,0,7,0,0,5.2780000000000005
LOW,LOW,0,4,3,1,6.890666666666666
HIGH,HIGH,0,6,3,2,5.405333333333334
LOW,LOW,0,3,5,5,6.500000000000001
LOW,LOW,0,2,1,0,6.238
HIGH,HIGH,0,9,5,4,6.548
LOW,LOW,1,0,5,4,8.184000000000001
LOW,LOW,0,1,1,0,5.03
HIGH,HIGH,0,9,5,4,5.518
LOW,LOW,0,0,0,0,5.97
LOW,LOW,0,5,3,0,2.75
LOW,LOW,1,5,1,0,2.0
LOW,LOW,1,2,3,1,2.374666666666667
LOW,LOW,1,3,5,2,3.602
HIGH,HIGH,1,7,2,0,2.248
HIGH,HIGH,1,8,3,1,2.0186666666666664
LOW,LOW,1,1,0,0,3.598
LOW,LOW,1,4,2,0,2.872
HIGH,HIGH,1,9,2,1,3.406
LOW,LOW,1,3,1,0,2.248
LOW,LOW,0,2,4,2,3.148
HIGH,HIGH,0,9,3,1,4.046666666666667
HIGH,HIGH,0,6,3,1,3.3826666666666667
LOW,LOW,1,4,0,0,1.596
HIGH,HIGH,1,7,1,0,2.192
LOW,LOW,1,5,1,0,0.8999999999999999
HIGH,HIGH,1,8,0,0,4.896
HIGH,HIGH,0,8,1,0,5.25
LOW,LOW,1,1,5,2,2.41
HIGH,HIGH,1,7,4,3,4.053999999999999
LOW,LOW,1,3,0,0,2.28
HIGH,HIGH,1,6,3,1,3.026666666666667
LOW,LOW,0,3,0,0,3.636
HIGH,HIGH,0,8,3,1,2.808666666666667
LOW,LOW,0,4,0,0,3.354
LOW,LOW,1,1,0,0,2.878
LOW,LOW,1,3,0,0,2.278
LOW,LOW,0,3,4,2,4.772
HIGH,HIGH,1,8,3,1,1.2986666666666666
LOW,LOW,0,5,1,0,4.27
HIGH,HIGH,0,9,1,0,3.052
HIGH,HIGH,1,6,5,3,1.966
LOW,LOW,0,5,3,1,2.788666666666667
LOW,LOW,0,4,3,1,3.440666666666667
HIGH,HIGH,1,9,3,2,3.917333333333333
HIGH,HIGH,0,9,0,0,1.81
LOW,LOW,1,4,0,0,2.264
LOW,LOW,0,5,1,0,1.706
LOW,LOW,0,3,1,0,0.4499999999999999
LOW,LOW,0,0,3,2,3.207333333333333
LOW,LOW,1,4,4,2,4.216
HIGH,HIGH,0,7,3,1,3.7386666666666666
HIGH,HIGH,1,7,5,1,1.636
HIGH,HIGH,1,9,4,1,3.738
LOW,LOW,0,0,0,0,2.478
HIGH,HIGH,1,8,5,2,3.026
LOW,LOW,1,2,0,0,0.0999999999999999
LOW,LOW,1,5,2,0,2.956
LOW,LOW,0,5,2,0,4.023999999999999
LOW,LOW,1,2,0,0,3.248
LOW,LOW,0,5,3,2,5.393333333333334
HIGH,HIGH,0,9,5,3,5.394
LOW,LOW,0,3,5,3,3.008
LOW,LOW,1,3,0,0,4.85
HIGH,HIGH,0,8,4,2,7.137999999999999
LOW,LOW,1,5,1,0,5.446
LOW,LOW,0,1,3,2,7.363333333333333
LOW,LOW,1,4,0,0,4.545999999999999
HIGH,HIGH,0,7,5,4,3.312
HIGH,HIGH,0,8,3,3,6.918
HIGH,HIGH,0,6,3,2,5.767333333333334
LOW,LOW,1,1,5,5,6.966
HIGH,HIGH,0,9,0,0,5.747999999999999
HIGH,HIGH,0,7,5,4,5.744
HIGH,HIGH,1,6,0,0,6.474
LOW,LOW,1,1,2,1,5.584
LOW,LOW,0,0,2,1,4.768
LOW,LOW,0,5,2,1,5.072
LOW,LOW,0,0,4,3,4.788000000000001
HIGH,HIGH,1,6,3,3,8.122
LOW,LOW,1,0,5,4,8.214
HIGH,HIGH,0,9,2,1,6.213999999999999
LOW,LOW,0,1,0,0,4.135999999999999
LOW,LOW,0,2,2,2,5.768
LOW,LOW,0,4,0,0,5.385999999999999
HIGH,HIGH,1,8,4,3,5.932
HIGH,HIGH,1,7,5,4,6.5
HIGH,HIGH,0,6,5,4,7.314
LOW,LOW,0,4,0,0,5.152
HIGH,HIGH,1,9,2,1,5.873999999999999
HIGH,HIGH,1,8,5,3,3.946
LOW,LOW,0,2,3,1,2.0246666666666666
LOW,LOW,1,0,0,0,0.3999999999999999
HIGH,HIGH,0,7,2,0,3.764
HIGH,HIGH,1,8,1,0,5.088
LOW,LOW,0,5,2,0,2.9679999999999995
HIGH,HIGH,1,8,0,0,4.446
HIGH,HIGH,1,9,4,3,5.346
LOW,LOW,0,3,1,0,0.524
HIGH,HIGH,0,6,3,2,3.767333333333333
HIGH,HIGH,1,8,0,0,0.626
HIGH,HIGH,1,8,0,0,0.97
LOW,LOW,1,3,3,0,0.646
HIGH,HIGH,1,9,5,1,0.716
LOW,LOW,1,2,3,0,0.91
LOW,LOW,1,0,2,0,0.956
HIGH,HIGH,1,6,4,0,1.236
HIGH,HIGH,1,6,3,0,1.0419999999999998
LOW,LOW,1,3,1,0,0.648
LOW,LOW,1,4,4,0,1.768
LOW,LOW,1,0,5,0,2.562
LOW,LOW,0,5,2,0,4.024
HIGH,HIGH,1,9,4,2,2.652
LOW,LOW,1,0,5,1,0.722
LOW,LOW,0,0,3,1,3.442666666666667
LOW,LOW,1,2,4,2,2.3960000000000004
LOW,LOW,1,2,5,2,3.118
LOW,LOW,0,0,3,1,2.4706666666666672
HIGH,HIGH,1,9,2,1,5.568
LOW,LOW,0,3,0,0,6.23
HIGH,HIGH,0,7,0,0,3.092
LOW,LOW,1,4,0,0,6.464
HIGH,HIGH,1,7,2,1,1.7160000000000002
HIGH,HIGH,0,9,2,1,0.6679999999999999
HIGH,HIGH,0,9,1,0,5.968
LOW,LOW,1,3,4,1,2.9319999999999995
LOW,LOW,0,3,5,3,3.76
HIGH,HIGH,1,6,3,2,4.631333333333334
HIGH,HIGH,1,8,0,0,2.548
LOW,LOW,0,4,2,0,5.8
HIGH,HIGH,0,8,1,0,2.774
HIGH,HIGH,0,9,3,1,5.612666666666667
HIGH,HIGH,1,9,3,1,5.460666666666666
HIGH,HIGH,1,6,4,2,4.67
HIGH,HIGH,0,8,0,0,0.908
LOW,LOW,1,4,2,0,2.55
HIGH,HIGH,1,7,1,0,2.892
LOW,LOW,1,0,2,1,3.734
LOW,LOW,1,0,1,0,5.424
HIGH,HIGH,1,9,0,0,2.596
HIGH,HIGH,1,9,3,0,0.3
LOW,LOW,1,1,0,0,0.0999999999999999
HIGH,HIGH,1,7,0,0,0.0
LOW,LOW,1,0,3,0,0.104
LOW,LOW,1,5,0,0,0.656
HIGH,HIGH,1,7,2,0,0.6
LOW,LOW,1,1,2,0,0.0
LOW,LOW,1,4,2,0,0.052
LOW,LOW,1,1,3,0,0.0
LOW,LOW,1,2,0,0,0.3339999999999999
LOW,LOW,0,2,2,1,8.004
HIGH,HIGH,0,7,0,0,6.590000000000001
HIGH,HIGH,0,7,4,3,5.760000000000001
HIGH,HIGH,0,9,0,0,4.038
HIGH,HIGH,0,7,5,4,5.908
HIGH,HIGH,0,6,3,2,6.871333333333333
LOW,LOW,1,5,5,3,4.246
HIGH,HIGH,0,8,5,4,6.265999999999999
LOW,LOW,0,4,0,0,4.271999999999999
HIGH,HIGH,0,8,1,0,5.992
LOW,LOW,0,3,3,2,3.473333333333333
LOW,LOW,1,3,1,0,1.912
LOW,LOW,1,2,3,1,1.7926666666666669
HIGH,HIGH,0,8,4,2,5.723999999999999
HIGH,HIGH,1,8,5,3,3.634
LOW,LOW,1,3,0,0,2.992
LOW,LOW,1,0,1,0,2.35
HIGH,HIGH,1,8,5,3,3.948
HIGH,HIGH,1,8,2,1,0.722
HIGH,HIGH,1,9,4,2,1.8080000000000005
HIGH,HIGH,1,7,3,0,0.0
HIGH,HIGH,1,6,2,0,1.58
HIGH,HIGH,1,6,1,0,0.948
LOW,LOW,1,1,3,0,0.982
LOW,LOW,1,0,4,1,0.388
LOW,LOW,1,0,1,0,0.752
LOW,LOW,1,2,2,0,0.0
LOW,LOW,1,0,5,0,2.81
LOW,LOW,1,0,2,0,0.364
LOW,LOW,1,1,2,0,1.268
LOW,LOW,0,3,5,2,0.5800000000000001
HIGH,HIGH,1,9,2,1,3.942
LOW,LOW,1,5,1,0,5.448
LOW,LOW,1,2,0,0,5.565999999999999
HIGH,HIGH,0,7,3,1,2.1666666666666665
HIGH,HIGH,1,6,1,0,3.678
LOW,LOW,1,5,1,0,3.18
HIGH,HIGH,1,7,0,0,3.49
LOW,LOW,0,4,0,0,4.998
LOW,LOW,1,5,1,0,0.644
LOW,LOW,1,4,3,0,0.918
LOW,LOW,1,1,2,0,0.6
HIGH,HIGH,1,9,1,0,0.73
LOW,LOW,1,4,3,0,0.04
HIGH,HIGH,1,7,5,0,0.69
LOW,LOW,1,4,0,0,0.694
LOW,LOW,1,0,3,0,1.0679999999999998
HIGH,HIGH,1,8,1,0,0.6799999999999999
HIGH,HIGH,1,8,4,0,0.958
LOW,LOW,1,5,3,0,0.984
HIGH,HIGH,0,8,1,0,5.288
LOW,LOW,0,2,2,1,3.444
LOW,LOW,0,2,4,3,3.226
LOW,LOW,1,0,0,0,2.55
HIGH,HIGH,1,9,2,1,4.593999999999999
HIGH,HIGH,0,6,3,2,5.043333333333334
HIGH,HIGH,1,7,2,1,5.045999999999999
HIGH,HIGH,0,9,5,2,3.15
HIGH,HIGH,0,7,5,3,2.228
LOW,LOW,1,2,0,0,2.912
LOW,LOW,1,0,5,1,4.494
HIGH,HIGH,1,9,4,1,2.642
LOW,LOW,1,5,3,1,1.6106666666666667
LOW,LOW,1,5,1,0,3.164
LOW,LOW,1,2,5,2,4.470000000000001
HIGH,HIGH,1,8,2,0,3.632
HIGH,HIGH,0,9,4,2,2.2
HIGH,HIGH,1,9,2,0,2.684
LOW,LOW,0,1,4,2,3.484
HIGH,HIGH,1,6,3,1,4.674666666666666
LOW,LOW,0,5,0,0,3.01
HIGH,HIGH,0,7,2,1,2.232
HIGH,HIGH,1,8,3,2,3.291333333333333
LOW,LOW,0,2,4,3,2.828
LOW,LOW,0,2,5,4,2.926
LOW,LOW,1,4,4,2,2.08
LOW,LOW,0,0,0,0,5.64
LOW,LOW,0,4,3,1,4.470666666666666
LOW,LOW,0,2,0,0,4.036
LOW,LOW,0,1,5,2,2.1619999999999995
LOW,LOW,1,2,5,1,3.484
LOW,LOW,0,4,2,1,3.152
LOW,LOW,0,0,1,0,1.0759999999999998
HIGH,HIGH,1,9,4,1,5.028
LOW,LOW,0,3,0,0,3.068
LOW,LOW,1,0,4,2,3.262
LOW,LOW,1,5,5,2,3.728
HIGH,HIGH,0,8,1,0,6.198
HIGH,HIGH,1,7,5,3,4.07
LOW,LOW,0,0,2,1,3.5620000000000003
LOW,LOW,1,3,0,0,4.452
HIGH,HIGH,1,7,3,2,4.873333333333334
HIGH,HIGH,1,8,3,0,3.846
LOW,LOW,0,2,4,1,3.418
HIGH,HIGH,0,8,0,0,0.824
LOW,LOW,0,2,2,1,2.22
HIGH,HIGH,1,6,2,1,0.72
HIGH,HIGH,0,8,5,3,7.696
LOW,LOW,1,0,1,0,5.722
HIGH,HIGH,0,6,1,0,3.75
HIGH,HIGH,0,6,5,3,3.466
LOW,LOW,1,2,4,3,3.318
HIGH,HIGH,1,8,4,2,2.64
LOW,LOW,0,1,0,0,4.242
HIGH,HIGH,1,6,2,1,3.656
LOW,LOW,1,0,5,3,4.086
HIGH,HIGH,1,8,0,0,3.008
LOW,LOW,0,5,1,0,4.958
HIGH,HIGH,1,7,4,1,0.3859999999999999
HIGH,HIGH,0,9,4,2,5.0120000000000005
HIGH,HIGH,1,6,5,3,1.052
LOW,LOW,0,2,0,0,5.28
HIGH,HIGH,0,6,0,0,4.314
HIGH,HIGH,1,9,4,2,2.992
HIGH,HIGH,0,9,0,0,2.702
LOW,LOW,0,3,2,1,3.836
LOW,LOW,0,4,2,0,0.758
HIGH,HIGH,0,9,4,2,3.474
HIGH,HIGH,0,9,3,1,3.0986666666666665
HIGH,HIGH,0,7,1,0,0.808
LOW,LOW,0,4,1,0,3.056
HIGH,HIGH,1,9,4,2,0.5
LOW,LOW,0,5,3,1,6.310666666666667
LOW,LOW,0,4,4,2,2.528
HIGH,HIGH,0,6,5,2,4.122
LOW,LOW,0,5,4,2,4.449999999999999
LOW,LOW,0,1,3,2,1.0213333333333332
LOW,LOW,0,4,0,0,4.016
HIGH,HIGH,1,7,2,1,2.4240000000000004
HIGH,HIGH,1,7,2,1,3.642
LOW,LOW,0,1,4,3,5.426
HIGH,HIGH,0,8,0,0,5.626
HIGH,HIGH,1,9,0,0,6.336
LOW,LOW,0,4,2,1,6.276
HIGH,HIGH,0,8,0,0,4.338
HIGH,HIGH,0,6,5,5,8.378
HIGH,HIGH,0,8,5,3,5.682
LOW,LOW,0,1,3,2,5.461333333333334
HIGH,HIGH,0,7,4,4,6.174
HIGH,HIGH,0,6,1,0,2.4160000000000004
LOW,LOW,1,1,4,0,0.99
HIGH,HIGH,1,6,0,0,1.35
HIGH,HIGH,1,9,5,0,0.614
LOW,LOW,1,4,2,0,1.102
HIGH,HIGH,1,7,3,0,1.0139999999999998
HIGH,HIGH,1,6,3,0,0.946
LOW,LOW,1,4,5,1,1.268
LOW,LOW,1,1,5,0,1.314
LOW,LOW,1,0,1,0,0.35
LOW,LOW,1,0,0,0,0.0
LOW,LOW,1,3,1,0,5.889999999999999
HIGH,HIGH,0,6,0,0,2.35
HIGH,HIGH,1,8,5,2,2.276
LOW,LOW,0,0,2,1,3.428
LOW,LOW,1,5,0,0,2.542
LOW,LOW,1,2,2,1,2.752
LOW,LOW,1,1,5,3,3.966
LOW,LOW,1,4,1,0,1.914
HIGH,HIGH,1,6,2,1,2.05
LOW,LOW,0,2,1,0,2.052
HIGH,HIGH,1,8,0,0,0.648
HIGH,HIGH,1,7,0,0,0.0
LOW,LOW,1,5,2,0,0.3
LOW,LOW,1,1,4,0,2.536
LOW,LOW,1,5,0,0,0.3
LOW,LOW,1,3,2,0,0.6
LOW,LOW,1,2,3,0,1.326
HIGH,HIGH,1,6,2,0,1.0219999999999998
LOW,LOW,1,5,4,1,0.35
HIGH,HIGH,1,9,1,0,0.8999999999999999
LOW,LOW,1,5,3,1,2.6086666666666667
HIGH,HIGH,0,7,1,0,3.996
LOW,LOW,1,2,3,1,3.554666666666667
LOW,LOW,0,2,5,3,2.51
HIGH,HIGH,1,8,5,1,3.556
HIGH,HIGH,1,8,5,4,1.2919999999999998
LOW,LOW,1,2,1,0,2.93
HIGH,HIGH,0,8,3,1,3.818666666666667
LOW,LOW,0,5,0,0,3.376
HIGH,HIGH,1,6,0,0,2.818
HIGH,HIGH,0,9,0,0,4.644
LOW,LOW,0,4,4,2,4.914
LOW,LOW,0,1,2,1,8.44
HIGH,HIGH,1,8,4,3,4.988
LOW,LOW,1,5,4,3,4.326
LOW,LOW,0,5,3,2,7.875333333333334
HIGH,HIGH,1,9,5,3,4.351999999999999
LOW,LOW,0,1,4,3,5.158
LOW,LOW,0,2,0,0,5.118
LOW,LOW,0,0,2,1,6.324
HIGH,HIGH,1,9,0,0,5.762
HIGH,HIGH,0,8,3,2,5.275333333333333
HIGH,HIGH,1,8,0,0,4.736
LOW,LOW,0,3,0,0,4.614000000000001
LOW,LOW,0,3,1,0,4.732
HIGH,HIGH,1,6,5,4,6.896
LOW,LOW,0,1,5,3,8.014
LOW,LOW,0,0,2,2,7.786
HIGH,HIGH,0,7,1,0,7.048
HIGH,HIGH,0,6,4,3,4.298
LOW,LOW,0,5,2,2,6.112
LOW,LOW,0,1,4,3,5.864
LOW,LOW,0,3,5,4,4.8420000000000005
LOW,LOW,1,0,5,2,5.853999999999999
HIGH,HIGH,0,7,2,1,6.842
LOW,LOW,0,2,4,3,6.706
HIGH,HIGH,0,9,1,0,6.192
HIGH,HIGH,1,7,4,2,5.9
HIGH,HIGH,1,6,0,0,6.002000000000001
LOW,LOW,0,5,1,0,7.248
LOW,LOW,0,3,1,0,4.976
HIGH,HIGH,1,8,0,0,3.582
LOW,LOW,1,5,4,2,4.636
HIGH,HIGH,1,9,2,1,2.042
HIGH,HIGH,0,6,4,2,4.796
HIGH,HIGH,1,9,4,2,3.3720000000000003
LOW,LOW,0,5,0,0,1.694
LOW,LOW,0,5,5,1,4.622000000000001
LOW,LOW,0,2,0,0,2.806
LOW,LOW,0,2,4,3,4.53
HIGH,HIGH,0,9,2,1,9.946
HIGH,HIGH,0,6,5,3,4.364
